Age,Workclass,Final Weight,Education,Education Number of Years,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Age_original,Income,Race_Sex_combined,Age_Sex_combined
Youth,Private,188073,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,24,<=50K,Black_Female,Youth_Female
Youth,?,221312,Some-college,10,Never-married,?,Other-relative,White,Male,0,0,40,United-States,18,<=50K,White_Male,Youth_Male
Elderly,Private,121552,7th-8th,4,Widowed,Other-service,Unmarried,Black,Male,0,0,5,United-States,79,<=50K,Black_Male,Elderly_Male
Early Adulthood,Private,177134,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,38,<=50K,Black_Female,Early Adulthood_Female
Elderly,Private,127921,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,9386,0,40,United-States,67,>50K,White_Male,Elderly_Male
Youth,Private,210794,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,25,<=50K,White_Female,Youth_Female
Midlife,Private,149366,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Peru,47,<=50K,White_Male,Midlife_Male
Youth,Private,214303,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,?,25,<=50K,White_Female,Youth_Female
Youth,?,205940,9th,5,Never-married,?,Own-child,White,Female,0,0,30,United-States,24,<=50K,White_Female,Youth_Female
Youth,?,43535,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,30,United-States,24,<=50K,White_Female,Youth_Female
Midlife,Private,158924,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,47,>50K,White_Female,Midlife_Female
Midlife,Private,270437,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,46,<=50K,White_Female,Midlife_Female
Early Adulthood,Private,266505,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,5013,0,38,United-States,26,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,37070,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Japan,32,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Federal-gov,56419,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,20,South,26,<=50K,Asian-Pac-Islander_Female,Early Adulthood_Female
Midlife,Private,389270,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,36,United-States,52,<=50K,White_Female,Midlife_Female
Elderly,Private,205266,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,61,<=50K,White_Male,Elderly_Male
Midlife,Federal-gov,104575,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,46,<=50K,White_Female,Midlife_Female
Midlife,Self-emp-not-inc,99220,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,41,<=50K,White_Male,Midlife_Male
Midlife,Private,178313,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,48,<=50K,White_Male,Midlife_Male
Midlife,Local-gov,103614,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,41,>50K,White_Male,Midlife_Male
Midlife,Private,114882,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,47,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,186977,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Columbia,33,<=50K,White_Male,Early Adulthood_Male
Youth,Private,208893,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,10,United-States,22,<=50K,White_Male,Youth_Male
Midlife,Self-emp-inc,84231,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,1977,50,United-States,57,>50K,White_Male,Midlife_Male
Youth,Private,129240,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,20,<=50K,White_Female,Youth_Female
Elderly,Private,113061,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,64,<=50K,White_Male,Elderly_Male
Early Adulthood,Private,243409,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,36,<=50K,White_Male,Early Adulthood_Male
Youth,?,28132,12th,8,Never-married,?,Own-child,White,Female,0,0,40,United-States,18,<=50K,White_Female,Youth_Female
Early Adulthood,Private,77975,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,40,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,?,241580,HS-grad,9,Divorced,?,Unmarried,White,Female,0,0,55,United-States,28,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,165599,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,40,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,85374,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,42,United-States,31,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-not-inc,45604,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,32,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,109501,5th-6th,3,Separated,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,42,<=50K,White_Female,Midlife_Female
Youth,?,289405,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,22,<=50K,White_Male,Youth_Male
Youth,Private,75759,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,3325,0,40,United-States,25,<=50K,White_Male,Youth_Male
Early Adulthood,Private,144808,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,27,<=50K,Black_Female,Early Adulthood_Female
Youth,?,231511,Some-college,10,Never-married,?,Own-child,White,Female,0,0,20,United-States,21,<=50K,White_Female,Youth_Female
Midlife,Private,155890,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,47,>50K,White_Male,Midlife_Male
Midlife,Self-emp-not-inc,108496,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,56,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,101562,Some-college,10,Divorced,Other-service,Own-child,White,Female,0,0,35,United-States,31,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,116372,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,29,>50K,White_Female,Early Adulthood_Female
Youth,Private,58037,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,17,<=50K,White_Male,Youth_Male
Early Adulthood,Private,339025,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,1579,40,Vietnam,38,<=50K,Asian-Pac-Islander_Male,Early Adulthood_Male
Early Adulthood,Private,117659,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,31,>50K,White_Male,Early Adulthood_Male
Youth,Private,372898,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,23,<=50K,White_Female,Youth_Female
Youth,Private,199426,Bachelors,13,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,24,<=50K,White_Female,Youth_Female
Youth,Private,36023,HS-grad,9,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,0,0,55,United-States,25,<=50K,White_Male,Youth_Male
Elderly,?,186535,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,3103,0,3,United-States,64,<=50K,White_Male,Elderly_Male
Midlife,Private,57600,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,38,United-States,44,<=50K,White_Female,Midlife_Female
Midlife,Private,369522,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,48,<=50K,White_Female,Midlife_Female
Early Adulthood,Private,28572,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,35,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,215323,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,35,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,81846,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,38,<=50K,Asian-Pac-Islander_Male,Early Adulthood_Male
Elderly,Private,535762,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1844,10,United-States,68,<=50K,White_Male,Elderly_Male
Midlife,Private,239405,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,0,35,Jamaica,59,<=50K,Black_Female,Midlife_Female
Midlife,Local-gov,43998,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,43,<=50K,White_Female,Midlife_Female
Early Adulthood,Private,408417,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,28,<=50K,Black_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,43705,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,50,<=50K,White_Male,Midlife_Male
Midlife,Private,176841,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,El-Salvador,45,<=50K,White_Female,Midlife_Female
Youth,Private,120676,11th,7,Never-married,Sales,Own-child,White,Female,0,0,16,United-States,17,<=50K,White_Female,Youth_Female
Midlife,Local-gov,207685,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,8614,0,33,United-States,44,>50K,White_Male,Midlife_Male
Early Adulthood,Private,157708,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,26,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,126349,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,49,United-States,27,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,277647,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,United-States,40,>50K,White_Male,Early Adulthood_Male
Midlife,Private,174426,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,43,United-States,45,<=50K,White_Male,Midlife_Male
Midlife,Self-emp-not-inc,37869,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,43,>50K,White_Male,Midlife_Male
Early Adulthood,Private,150025,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,Peru,28,<=50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,155496,Some-college,10,Never-married,Other-service,Unmarried,White,Female,2176,0,40,United-States,54,<=50K,White_Female,Midlife_Female
Midlife,Private,174748,Bachelors,13,Divorced,Exec-managerial,Unmarried,Black,Female,7430,0,45,United-States,43,>50K,Black_Female,Midlife_Female
Early Adulthood,Self-emp-inc,140915,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Other,Male,0,0,40,France,40,>50K,Other_Male,Early Adulthood_Male
Youth,Private,187161,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,18,United-States,19,<=50K,White_Female,Youth_Female
Youth,Private,181820,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,45,United-States,24,<=50K,White_Male,Youth_Male
Youth,Private,438321,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,20,<=50K,White_Male,Youth_Male
Midlife,Private,342121,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,54,United-States,55,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,135162,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,39,<=50K,White_Male,Early Adulthood_Male
Youth,Private,289448,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,2205,30,Philippines,22,<=50K,Asian-Pac-Islander_Female,Youth_Female
Midlife,Self-emp-not-inc,157237,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,44,>50K,White_Male,Midlife_Male
Early Adulthood,Private,184542,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,30,<=50K,White_Female,Early Adulthood_Female
Elderly,Private,70234,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,26,United-States,74,<=50K,White_Female,Elderly_Female
Early Adulthood,Private,170412,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,30,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,171184,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,Dominican-Republic,31,<=50K,White_Female,Early Adulthood_Female
Midlife,?,141076,HS-grad,9,Divorced,?,Not-in-family,Black,Female,3674,0,40,United-States,56,<=50K,Black_Female,Midlife_Female
Midlife,Private,168145,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,59,<=50K,White_Female,Midlife_Female
Youth,Private,172594,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,24,<=50K,White_Female,Youth_Female
Youth,Private,133582,5th-6th,3,Never-married,Farming-fishing,Not-in-family,White,Male,2176,0,36,Mexico,21,<=50K,White_Male,Youth_Male
Midlife,Private,214840,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,51,>50K,White_Male,Midlife_Male
Youth,?,301408,Some-college,10,Never-married,?,Own-child,White,Female,0,1602,30,United-States,20,<=50K,White_Female,Youth_Female
Early Adulthood,Private,97723,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,40,United-States,33,<=50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,318351,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,Canada,51,>50K,White_Female,Midlife_Female
Youth,Private,69911,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,20,<=50K,White_Female,Youth_Female
Midlife,Private,200316,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,59,<=50K,White_Male,Midlife_Male
Early Adulthood,Local-gov,265426,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,31,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,66687,Some-college,10,Separated,Craft-repair,Unmarried,White,Male,0,0,45,United-States,39,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,107417,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,31,<=50K,White_Male,Early Adulthood_Male
Midlife,?,140782,HS-grad,9,Separated,?,Own-child,White,Female,0,0,36,United-States,46,<=50K,White_Female,Midlife_Female
Youth,?,212210,Some-college,10,Never-married,?,Own-child,White,Female,0,0,15,United-States,23,<=50K,White_Female,Youth_Female
Midlife,Private,144012,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,57,>50K,White_Male,Midlife_Male
Elderly,?,40021,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,67,<=50K,White_Male,Elderly_Male
Early Adulthood,Self-emp-not-inc,228493,1st-4th,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,65,Mexico,35,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,State-gov,114714,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,40,>50K,Asian-Pac-Islander_Male,Early Adulthood_Male
Youth,Private,188758,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,17,<=50K,White_Male,Youth_Male
Early Adulthood,Private,176862,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,34,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Local-gov,107793,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,33,>50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,333052,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,5,United-States,47,<=50K,White_Female,Midlife_Female
Midlife,Private,175958,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,49,>50K,White_Male,Midlife_Male
Youth,Private,125012,Bachelors,13,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,0,0,20,United-States,24,<=50K,Black_Female,Youth_Female
Early Adulthood,Private,135296,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,28,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Local-gov,31171,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,1590,40,United-States,30,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,103860,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,31,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,90582,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,40,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,216292,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,46,<=50K,White_Male,Midlife_Male
Midlife,Local-gov,188588,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,2001,35,United-States,54,<=50K,White_Male,Midlife_Male
Early Adulthood,?,173178,Some-college,10,Never-married,?,Not-in-family,Black,Male,0,0,36,United-States,27,<=50K,Black_Male,Early Adulthood_Male
Midlife,Self-emp-inc,193720,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1672,48,United-States,50,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,218542,9th,5,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,35,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,138845,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,44,<=50K,White_Male,Midlife_Male
Midlife,State-gov,86837,Some-college,10,Married-spouse-absent,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,50,Philippines,46,<=50K,Asian-Pac-Islander_Male,Midlife_Male
Youth,State-gov,125010,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,22,<=50K,White_Female,Youth_Female
Early Adulthood,Private,50149,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,38,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,241350,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,8614,0,50,United-States,46,>50K,White_Male,Midlife_Male
Elderly,Private,39895,7th-8th,4,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,81,<=50K,White_Female,Elderly_Female
Early Adulthood,Self-emp-not-inc,258289,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,36,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-not-inc,183151,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,28,>50K,White_Male,Early Adulthood_Male
Midlife,?,228614,7th-8th,4,Married-civ-spouse,?,Husband,Black,Male,0,0,35,United-States,58,<=50K,Black_Male,Midlife_Male
Midlife,Private,192236,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3464,0,48,United-States,51,<=50K,White_Male,Midlife_Male
Early Adulthood,?,161664,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,60,United-States,37,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,105381,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,45,<=50K,White_Female,Midlife_Female
Early Adulthood,Private,235786,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,40,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,118947,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,44,>50K,White_Male,Midlife_Male
Early Adulthood,Private,168817,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,35,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,24361,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,34,<=50K,White_Female,Early Adulthood_Female
Youth,Private,321223,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,20,United-States,25,<=50K,White_Female,Youth_Female
Elderly,Private,146810,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,24,United-States,66,<=50K,White_Male,Elderly_Male
Early Adulthood,Local-gov,94041,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,3325,0,35,United-States,30,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-not-inc,814850,9th,5,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States,40,<=50K,Amer-Indian-Eskimo_Female,Early Adulthood_Female
Midlife,Private,331649,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,43,<=50K,White_Male,Midlife_Male
Midlife,Private,209894,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,38,United-States,43,<=50K,White_Female,Midlife_Female
Midlife,Private,229954,Assoc-acdm,12,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,44,<=50K,White_Female,Midlife_Female
Midlife,Private,287547,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,48,<=50K,White_Female,Midlife_Female
Midlife,Private,184018,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,42,>50K,White_Male,Midlife_Male
Youth,Private,332409,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,25,>50K,White_Male,Youth_Male
Early Adulthood,Local-gov,113364,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,33,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,State-gov,134813,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,65,United-States,28,>50K,White_Male,Early Adulthood_Male
Youth,Private,273049,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,24,<=50K,White_Male,Youth_Male
Early Adulthood,Private,334277,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,29,<=50K,White_Male,Early Adulthood_Male
Midlife,State-gov,196395,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,60,United-States,51,>50K,Black_Male,Midlife_Male
Midlife,Private,138069,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,47,<=50K,White_Male,Midlife_Male
Midlife,Private,358259,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,45,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,362067,Assoc-voc,11,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,36,<=50K,Black_Female,Early Adulthood_Female
Midlife,Private,209947,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,42,United-States,54,<=50K,White_Male,Midlife_Male
Youth,Private,122244,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,23,<=50K,White_Female,Youth_Female
Early Adulthood,Private,116546,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,36,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,213934,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,42,United-States,44,<=50K,White_Male,Midlife_Male
Early Adulthood,Local-gov,24988,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,0,1564,72,United-States,27,>50K,White_Female,Early Adulthood_Female
Midlife,Private,157229,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,0,40,India,53,<=50K,Asian-Pac-Islander_Female,Midlife_Female
Early Adulthood,Private,162442,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,0,0,40,United-States,30,<=50K,White_Female,Early Adulthood_Female
Elderly,Federal-gov,231604,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,67,>50K,White_Male,Elderly_Male
Youth,Private,187031,Masters,14,Never-married,Sales,Unmarried,Black,Female,0,0,38,United-States,24,<=50K,Black_Female,Youth_Female
Early Adulthood,Private,172714,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,33,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-not-inc,198286,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,29,<=50K,White_Female,Early Adulthood_Female
Midlife,Self-emp-not-inc,220001,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,51,<=50K,White_Female,Midlife_Female
Midlife,Private,262656,HS-grad,9,Never-married,Other-service,Unmarried,Black,Male,0,0,32,United-States,44,<=50K,Black_Male,Midlife_Male
Early Adulthood,Private,203776,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,27,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,193815,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,36,>50K,White_Male,Early Adulthood_Male
Midlife,Local-gov,173242,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,57,<=50K,White_Female,Midlife_Female
Midlife,Private,108126,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,1762,24,United-States,43,<=50K,White_Female,Midlife_Female
Elderly,Private,199021,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,54,United-States,62,<=50K,White_Male,Elderly_Male
Midlife,Private,92968,Assoc-acdm,12,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,53,<=50K,White_Female,Midlife_Female
Midlife,Private,173682,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,44,<=50K,White_Male,Midlife_Male
Midlife,Local-gov,277533,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,44,>50K,White_Male,Midlife_Male
Youth,Private,90896,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,22,<=50K,White_Female,Youth_Female
Midlife,Self-emp-inc,212600,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,57,>50K,White_Male,Midlife_Male
Midlife,Private,261671,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam,52,<=50K,Asian-Pac-Islander_Male,Midlife_Male
Elderly,Private,86321,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Male,0,0,22,United-States,66,<=50K,White_Male,Elderly_Male
Early Adulthood,Self-emp-not-inc,119992,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,37,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,427812,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Puerto-Rico,33,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,55849,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,34,>50K,White_Male,Early Adulthood_Male
Youth,Private,271354,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1902,50,United-States,23,>50K,White_Male,Youth_Male
